en,de,es,fr,it,ru
,,,,,
menu,Menü,,,,
Keyboard:,Tastatur:,,,,
LEFT ARROW – toggle game menu.,LINKER PFEIL – Spiel–Menü ein/aus.,,,,
UP ARROW / I – toggle inventory.,PFEIL NACH OBEN / I – Inventar ein/aus.,,,,
RIGHT ARROW – toggle notebook.,RECHTER PFEIL – Notizbuch ein/aus.,,,,
TAB KEY – skip a cutscene or dialogue sequence.,TABULATORTASTE – Zwischensequenz oder Dialogsequenz überspringen.,,,,
Mouse:,Maus:,,,,
CLICK AND HOLD on a room object or inventory item to interact with it.,"Auf ein Objekt am Bildschirm oder einen Gegenstand im Inventar KLICKEN UND GEKLICKT HALTEN, um damit zu interagieren.",,,,
"CLICK on an inventory item to set it as the game cursor, then click to use that item with objects in the world.","Auf einen Gegenstand im Inventar KLICKEN, um ihn als Cursor zu übernehmen, dann klicken, um diesen Gegenstand mit Objekten in der Welt zu verwenden.",,,,
DOUBLE-CLICK to clear an inventory item cursor.,"DOPPELKLICKEN, um den Gegenstandscursor zu löschen.",,,,
TOUCH BOTTOM OF SCREEN for game controls.,Spielsteuerung: BERÜHRE DEN UNTEREN TEIL DES BILDSCHIRMS.,,,,
,,,,,
ui,UI,,,,
Inventory,Inventar,,,,
Insignia Rings,Insignienringe
Written and Directed,Buch und Regie
Produced by,Produziert von
Created by,Geschaffen von
,
fishing,Angeln
Ahoy Nigel! Here is what you need to know,Ahoi Nigel! Das musst du wissen
A common bass is worth up to 10 coins.,Ein gewöhnlicher Barsch ist bis zu 10 Münzen wert.
Golden breams are worth 50 coins!,Goldene Brassen sind 50 Münzen wert!
"To catch a fish, place your hook under its mouth and then pull it up into my net.","Um einen Fisch fangen, platziere deinen Haken unter dem Maul des Fisches und ziehe ihn dann in mein Netz."
"Beware of jellyfish! They'll stun a fish on your line, and catching one will spoil part of our catch.","Vorsicht vor Quallen! Sie werden den Fisch an deiner Schnur betäuben, und wenn du eine fängst, wird ein Teil unseres Fangs verdorben."
"Time is money! The faster you can pull fish into my net, the more they're worth.","Zeit ist Geld! Je schneller du die Fische in mein Netz ziehst, desto mehr sind sie wert."
You have 30 seconds to catch all the fish you can. Catch 300 coins worth of fish and the take is yours!,"Du hast 30 Sekunden, um so viele Fische wie möglich zu fangen. Wenn du Fische im Wert von 300 Münzen fängst, gehört der Preis dir!"
Get Ready!,Bereite dich vor!
Fish!,Angele!
Time Up!,Keine Zeit mehr!
Go Fishing,Gehe Angeln
Replay,Wiederholung
Exit,Beenden
,
mtpower,mtpower
Lightning Attractor,Blitz–Attraktor
Charged,Aufgeladen
Malfunction,Fehlfunktion
Rift Power Reserve,Riss–Stromreserve
Station Power,Bahnhofsenergie
Danger: Rift Flux Unstable,Gefahr: Riss–Flux instabil
Train Platform,Bahnsteig
Attractor Lift,Attraktor–Aufzug
Lab Elevator,Labor–Aufzug
,
acts,Akte
A Warm Welcome at Ravenhollow Harbor,Herzlich Willkommen im Hafen von Ravenhollow
The Castle's Challenge,Die Herausforderung des Schlosses
Specters of the Past,Gespenster der Vergangenheit
A Stitch in Time,A Stitch in Time
,
credits,Mitwirkende
Written and Directed,Buch und Regie
Producer,Produzent
Creator,Schöpfer
Screenplay,Drehbuch
With Inspiration From,Mit Inspirationen von
Proofreader,Korrektor
Puzzle Design,Rätsel–Design
Art Department,Kunstabteilung
Art Director / Lead Artist,Künstlerischer Leiter / Leitender Grafiker
Concept Art,Konzeptkunst
Character Art,Design der Charaktere
Background Sketch Artists,Design der Hintergrundskizzen
Background Painters,Hintergrundgestaltung
3D Art,3D–Design
Flash Animation,Flash–Animation
Particle Effects,Partikel–Effekte
Logo Design,Logo–Design
The Nine Insignia Designs,Die Designs der neun Abzeichen
Game Handbook,Spiel–Handbuch
Hint Guide,Tipps–Handbuch
Technology,Technologie
Lassie Engine Core Programming,Lassie–Engine–Core–Programmierung
Game Scripting,Skriptsprache des Spiels
Custom ActionScript Programming,Custom ActionScript–Programmierung
Fishing Minigame,Angel–Minispiel
Lightning,Beleuchtung
Particle System,Partikel–System
Sound,Ton
Freesound Contributors,Freesound–Mitwirkende
Music,Musik
Testing and Quality Assurance,Tests und Qualitätssicherung
Production Locations,Produktionsstandorte
Special Appearances,Besondere Auftritte
Special Thanks,Besonderer Dank
"To our family, friends, and fans who've helped make this project possible.","Unseren Familien, Freunden und Fans, die dazu beigetragen haben, dieses Projekt zu verwirklichen."
,
NOTEBOOK - See Flash assets file,NOTIZBUCH – Siehe Datei Flash–Objekte
DEMO END - See Flash assets file,DEMO–ENDE – Siehe Datei Flash–Objekte
